* begin:	07/04/2023 21:28:01
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi4cb.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	0.0000000	30.0	236	3396	311186	3972	3763740519	3632	0.0000000	0.0000000
2	5.0000000	30.0	444	3305	307451	4056	3763740557	3749	0.0000000	0.0000000
3	10.0000000	30.0	614	3369	308203	3969	3763740594	3983	0.0000000	0.0000000
4	15.0000000	30.0	687	3293	300478	3990	3763740632	3980	0.0000000	0.0000000
5	20.0000000	30.0	561	3367	297297	4075	3763740669	3928	0.0000000	0.0000000
6	25.0000000	30.0	407	3333	327727	3920	3763740707	3740	0.0000000	0.0000000
7	30.0000000	30.0	241	3400	324963	3973	3763740744	3641	0.0000000	0.0000000
8	35.0000000	30.0	88	3466	325947	3940	3763740782	3554	0.0000000	0.0000000
9	40.0000000	30.0	65	3299	329036	3994	3763740820	3364	0.0000000	0.0000000
10	45.0000000	30.0	134	3377	326989	3942	3763740857	3511	0.0000000	0.0000000
11	50.0000000	30.0	314	3286	336207	3930	3763740895	3600	0.0000000	0.0000000
12	55.0000000	30.0	486	3319	334024	3979	3763740932	3805	0.0000000	0.0000000
13	60.0000000	30.0	578	3370	321411	3900	3763740970	3948	0.0000000	0.0000000
14	65.0000000	30.0	590	3414	321886	3971	3763741008	4004	0.0000000	0.0000000
15	70.0000000	30.0	472	3405	331435	3941	3763741045	3877	0.0000000	0.0000000
16	75.0000000	30.0	347	3341	337987	3941	3763741083	3688	0.0000000	0.0000000
17	80.0000000	30.0	157	3330	337150	3993	3763741120	3487	0.0000000	0.0000000
18	85.0000000	30.0	59	3400	345128	4000	3763741158	3459	0.0000000	0.0000000
19	90.0000000	30.0	102	3375	343268	4006	3763741196	3477	0.0000000	0.0000000
20	95.0000000	30.0	228	3384	344195	4080	3763741233	3612	0.0000000	0.0000000
* end: 07/04/2023 21:40:34
