* begin:	16/04/2023 05:14:03
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi8_In08_cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	0.0000000	60.0	268	10296	604977	7972	3764459711	10564	0.0000000	0.0000000
2	5.0000000	60.0	469	10364	608696	8090	3764459779	10833	0.0000000	0.0000000
3	10.0000000	60.0	654	10215	637094	7999	3764459846	10869	0.0000000	0.0000000
4	15.0000000	60.0	667	10500	661340	8093	3764459914	11167	0.0000000	0.0000000
5	20.0000000	60.0	637	10068	663912	7886	3764459981	10705	0.0000000	0.0000000
6	25.0000000	60.0	501	10292	719142	7996	3764460049	10793	0.0000000	0.0000000
7	30.0000000	60.0	283	10449	710487	8052	3764460117	10732	0.0000000	0.0000000
8	35.0000000	60.0	110	10319	669828	7921	3764460184	10429	0.0000000	0.0000000
9	40.0000000	60.0	58	10363	626403	7887	3764460252	10421	0.0000000	0.0000000
10	45.0000000	60.0	140	10207	613776	7893	3764460319	10347	0.0000000	0.0000000
11	50.0000000	60.0	363	10278	612110	7896	3764460387	10641	0.0000000	0.0000000
12	55.0000000	60.0	472	10174	612952	7884	3764460455	10646	0.0000000	0.0000000
13	60.0000000	60.0	605	10539	612654	8018	3764460522	11144	0.0000000	0.0000000
14	65.0000000	60.0	670	10421	612051	7969	3764460590	11091	0.0000000	0.0000000
15	70.0000000	60.0	611	10273	702476	7891	3764460657	10884	0.0000000	0.0000000
16	75.0000000	60.0	404	10251	663746	7921	3764460725	10655	0.0000000	0.0000000
17	80.0000000	60.0	194	10100	673511	7781	3764460792	10294	0.0000000	0.0000000
18	85.0000000	60.0	77	10046	708047	7928	3764460860	10123	0.0000000	0.0000000
19	90.0000000	60.0	106	10100	688792	7945	3764460928	10206	0.0000000	0.0000000
20	95.0000000	60.0	264	10430	628415	8058	3764460995	10694	0.0000000	0.0000000
* end: 16/04/2023 05:36:36
