* begin:	12/04/2023 07:02:20
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path2pi4_In2_cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	-1.7500000	60.0	58	6776	692244	2021	3764120605	6834	0.0000000	0.0000000
0	-1.5000000	60.0	210	6716	696559	1913	3764120669	6926	0.0000000	0.0000000
0	-1.2500000	60.0	501	6598	684927	1959	3764120734	7099	0.0000000	0.0000000
0	-1.0000000	60.0	807	6626	671980	1942	3764120798	7433	0.0000000	0.0000000
0	-0.7500000	60.0	981	6607	656216	1981	3764120862	7588	0.0000000	0.0000000
0	-0.5000000	60.0	945	6823	679866	1916	3764120926	7768	0.0000000	0.0000000
0	-0.2500000	60.0	697	6655	671694	1956	3764120990	7352	0.0000000	0.0000000
0	0.0000000	60.0	391	6690	671874	2052	3764121055	7081	0.0000000	0.0000000
0	0.2500000	60.0	147	6807	681574	1988	3764121119	6954	0.0000000	0.0000000
0	0.5000000	60.0	67	6890	636939	1948	3764121183	6957	0.0000000	0.0000000
0	0.7500000	60.0	218	6688	634135	1966	3764121247	6906	0.0000000	0.0000000
0	1.0000000	60.0	484	6725	624773	1965	3764121312	7209	0.0000000	0.0000000
0	1.2500000	60.0	807	6812	625754	2032	3764121376	7619	0.0000000	0.0000000
0	1.5000000	60.0	896	6751	666402	1965	3764121440	7647	0.0000000	0.0000000
0	1.7500000	60.0	926	6595	645862	1974	3764121504	7521	0.0000000	0.0000000
* end: 12/04/2023 07:18:25
