* begin:	02/09/2023 11:38:08
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha_ifg.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	-2.9992676	20.0	236	5418	126947	465	3776492318	6119	0.0000000	0.0000000
2	-2.8015137	20.0	367	4591	126228	1016	3776492344	5974	0.0000000	0.0000000
3	-2.5927734	20.0	517	3674	127059	1635	3776492371	5826	0.0000000	0.0000000
4	-2.3950195	20.0	672	2988	125780	2066	3776492398	5726	0.0000000	0.0000000
5	-2.1972656	20.0	721	2784	126272	2273	3776492424	5778	0.0000000	0.0000000
6	-2.0104980	20.0	744	3100	126288	2057	3776492451	5901	0.0000000	0.0000000
7	-1.8127441	20.0	611	3941	125463	1424	3776492478	5976	0.0000000	0.0000000
8	-1.6149902	20.0	435	4782	124654	776	3776492504	5993	0.0000000	0.0000000
9	-1.3952637	20.0	270	5235	124711	451	3776492531	5956	0.0000000	0.0000000
10	-1.2084961	20.0	258	5590	124856	358	3776492558	6206	0.0000000	0.0000000
11	-0.9997559	20.0	281	5118	124328	663	3776492585	6062	0.0000000	0.0000000
12	-0.8129883	20.0	354	4735	125350	1007	3776492611	6096	0.0000000	0.0000000
13	-0.6152344	20.0	566	3436	125106	1681	3776492638	5683	0.0000000	0.0000000
14	-0.4064941	20.0	683	2997	125863	2106	3776492665	5786	0.0000000	0.0000000
15	-0.1977539	20.0	800	2759	122640	2276	3776492692	5835	0.0000000	0.0000000
16	0.0000000	20.0	659	3202	125427	1909	3776492718	5770	0.0000000	0.0000000
17	0.2087402	20.0	601	3702	125744	1581	3776492745	5884	0.0000000	0.0000000
18	0.3955078	20.0	440	4519	126086	1003	3776492772	5962	0.0000000	0.0000000
19	0.5932617	20.0	333	5259	125317	480	3776492798	6072	0.0000000	0.0000000
20	0.8020020	20.0	227	5489	126101	385	3776492825	6101	0.0000000	0.0000000
21	0.9997559	20.0	241	5229	126687	590	3776492852	6060	0.0000000	0.0000000
22	1.1975098	20.0	341	4707	125685	1014	3776492878	6062	0.0000000	0.0000000
23	1.3952637	20.0	521	3741	127565	1564	3776492905	5826	0.0000000	0.0000000
24	1.6040039	20.0	690	3035	124847	2119	3776492932	5844	0.0000000	0.0000000
25	1.8127441	20.0	741	2712	125342	2210	3776492959	5663	0.0000000	0.0000000
26	1.9995117	20.0	706	3040	124663	2067	3776492985	5813	0.0000000	0.0000000
27	2.1972656	20.0	618	3709	127012	1554	3776493012	5881	0.0000000	0.0000000
28	2.3950195	20.0	438	4660	127108	892	3776493039	5990	0.0000000	0.0000000
29	2.6037598	20.0	283	5147	128111	453	3776493066	5883	0.0000000	0.0000000
30	2.7905273	20.0	219	5459	127705	351	3776493092	6029	0.0000000	0.0000000
31	3.0102539	20.0	235	5180	128369	531	3776493119	5946	0.0000000	0.0000000
* end: 02/09/2023 11:52:00
