* begin:	15/04/2023 17:28:15
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi8_In08_cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	0.0000000	60.0	528	9079	724092	8023	3764417363	9607	0.0000000	0.0000000
2	5.0000000	60.0	859	9032	615692	7905	3764417430	9891	0.0000000	0.0000000
3	10.0000000	60.0	1110	8900	633783	8013	3764417498	10010	0.0000000	0.0000000
4	15.0000000	60.0	1167	8954	643528	7864	3764417566	10121	0.0000000	0.0000000
5	20.0000000	60.0	882	9111	647075	8014	3764417633	9993	0.0000000	0.0000000
6	25.0000000	60.0	646	8952	645081	7773	3764417701	9598	0.0000000	0.0000000
7	30.0000000	60.0	333	9202	621390	7944	3764417768	9535	0.0000000	0.0000000
8	35.0000000	60.0	128	8892	646504	7837	3764417836	9020	0.0000000	0.0000000
9	40.0000000	60.0	108	9242	708773	7870	3764417903	9350	0.0000000	0.0000000
10	45.0000000	60.0	285	8778	649251	8054	3764417971	9063	0.0000000	0.0000000
11	50.0000000	60.0	605	8994	665747	8023	3764418038	9599	0.0000000	0.0000000
12	55.0000000	60.0	927	9032	606493	7808	3764418106	9959	0.0000000	0.0000000
13	60.0000000	60.0	1142	8824	559722	7934	3764418173	9966	0.0000000	0.0000000
14	65.0000000	60.0	1072	9209	683094	8168	3764418241	10281	0.0000000	0.0000000
15	70.0000000	60.0	828	9046	649308	7977	3764418308	9874	0.0000000	0.0000000
16	75.0000000	60.0	495	9174	622562	7898	3764418376	9669	0.0000000	0.0000000
17	80.0000000	60.0	221	9066	663522	7877	3764418443	9287	0.0000000	0.0000000
18	85.0000000	60.0	84	9253	707606	7764	3764418511	9337	0.0000000	0.0000000
19	90.0000000	60.0	138	9156	690015	8103	3764418578	9294	0.0000000	0.0000000
20	95.0000000	60.0	453	8834	631240	8097	3764418646	9287	0.0000000	0.0000000
* end: 15/04/2023 17:50:47
