* begin:	09/04/2023 02:49:50
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi4cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	0.0000000	60.0	343	7417	541146	7858	3763846258	7760	0.0000000	0.0000000
2	5.0000000	60.0	600	7470	539799	7920	3763846325	8070	0.0000000	0.0000000
3	10.0000000	60.0	807	7560	540880	7832	3763846393	8367	0.0000000	0.0000000
4	15.0000000	60.0	859	7549	538921	7950	3763846460	8408	0.0000000	0.0000000
5	20.0000000	60.0	819	7273	537733	7953	3763846528	8092	0.0000000	0.0000000
6	25.0000000	60.0	543	7451	541840	7881	3763846596	7994	0.0000000	0.0000000
7	30.0000000	60.0	292	7499	538452	8204	3763846663	7791	0.0000000	0.0000000
8	35.0000000	60.0	120	7440	539709	7893	3763846731	7560	0.0000000	0.0000000
9	40.0000000	60.0	111	7344	537734	8005	3763846799	7455	0.0000000	0.0000000
10	45.0000000	60.0	202	7425	570071	7934	3763846866	7627	0.0000000	0.0000000
11	50.0000000	60.0	421	7362	690171	7735	3763846934	7783	0.0000000	0.0000000
12	55.0000000	60.0	679	7404	685377	7925	3763847001	8083	0.0000000	0.0000000
13	60.0000000	60.0	812	7608	640037	7971	3763847069	8420	0.0000000	0.0000000
14	65.0000000	60.0	802	7590	655042	8162	3763847137	8392	0.0000000	0.0000000
15	70.0000000	60.0	645	7645	625444	7841	3763847204	8290	0.0000000	0.0000000
16	75.0000000	60.0	468	7417	614157	8003	3763847272	7885	0.0000000	0.0000000
17	80.0000000	60.0	227	7417	609432	7984	3763847340	7644	0.0000000	0.0000000
18	85.0000000	60.0	106	7303	630826	7816	3763847407	7409	0.0000000	0.0000000
19	90.0000000	60.0	142	7409	624375	8183	3763847475	7551	0.0000000	0.0000000
20	95.0000000	60.0	322	7301	656855	7991	3763847543	7623	0.0000000	0.0000000
* end: 09/04/2023 03:12:24
