* begin:	15/04/2023 10:03:40
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi4_noIn_cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	-1.7500000	60.0	188	11794	679638	7619	3764390685	11982	0.0000000	0.0000000
0	-1.5000000	60.0	428	11860	642603	7743	3764390750	12288	0.0000000	0.0000000
0	-1.2500000	60.0	849	11645	641173	7838	3764390814	12494	0.0000000	0.0000000
0	-1.0000000	60.0	1297	11755	636734	7835	3764390878	13052	0.0000000	0.0000000
0	-0.7500000	60.0	1488	11544	634579	7805	3764390942	13032	0.0000000	0.0000000
0	-0.5000000	60.0	1264	11804	626624	7874	3764391006	13068	0.0000000	0.0000000
0	-0.2500000	60.0	813	11834	629669	7811	3764391071	12647	0.0000000	0.0000000
0	0.0000000	60.0	476	11746	636517	7834	3764391135	12222	0.0000000	0.0000000
0	0.2500000	60.0	196	11866	637084	7772	3764391199	12062	0.0000000	0.0000000
0	0.5000000	60.0	163	11851	635581	7911	3764391263	12014	0.0000000	0.0000000
0	0.7500000	60.0	466	11700	707262	7775	3764391328	12166	0.0000000	0.0000000
0	1.0000000	60.0	830	11954	685770	7767	3764391392	12784	0.0000000	0.0000000
0	1.2500000	60.0	1269	11692	695364	7684	3764391456	12961	0.0000000	0.0000000
0	1.5000000	60.0	1381	11864	703495	7666	3764391520	13245	0.0000000	0.0000000
0	1.7500000	60.0	1244	11973	668616	7845	3764391585	13217	0.0000000	0.0000000
* end: 15/04/2023 10:19:46
