* begin:	07/04/2023 00:24:01
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path1pi8cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	-1.7500000	10.0	17	820	116030	1296	3763664656	837	0.0000000	0.0000000
0	-1.5000000	10.0	33	787	116009	1350	3763664671	820	0.0000000	0.0000000
0	-1.2500000	10.0	117	786	118174	1294	3763664685	903	0.0000000	0.0000000
0	-1.0000000	10.0	247	870	101311	1258	3763664699	1117	0.0000000	0.0000000
0	-0.7500000	10.0	326	887	104632	1367	3763664713	1213	0.0000000	0.0000000
0	-0.5000000	10.0	316	804	107452	1280	3763664728	1120	0.0000000	0.0000000
0	-0.2500000	10.0	300	759	106575	1326	3763664742	1059	0.0000000	0.0000000
0	0.0000000	10.0	167	808	106380	1325	3763664756	975	0.0000000	0.0000000
0	0.2500000	10.0	63	821	105595	1308	3763664770	884	0.0000000	0.0000000
0	0.5000000	10.0	16	841	104910	1333	3763664785	857	0.0000000	0.0000000
0	0.7500000	10.0	45	801	102239	1256	3763664799	846	0.0000000	0.0000000
0	1.0000000	10.0	118	792	101410	1281	3763664813	910	0.0000000	0.0000000
0	1.2500000	10.0	250	813	102367	1289	3763664828	1063	0.0000000	0.0000000
0	1.5000000	10.0	342	814	102546	1284	3763664842	1156	0.0000000	0.0000000
0	1.7500000	10.0	337	791	102366	1384	3763664856	1128	0.0000000	0.0000000
* end: 07/04/2023 00:27:37
