* begin:	13/04/2023 07:08:20
* script file:	D:\data\Cycle 192\exp_3-16-13\rawdata\sc\path2pi8cb_g.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	0.0000000	60.0	1040	5241	675043	8067	3764207368	6281	0.0000000	0.0000000
2	5.0000000	60.0	1488	5216	673712	7863	3764207436	6704	0.0000000	0.0000000
3	10.0000000	60.0	1646	5217	619462	8027	3764207503	6863	0.0000000	0.0000000
4	15.0000000	60.0	1588	5260	685640	7999	3764207571	6848	0.0000000	0.0000000
5	20.0000000	60.0	1318	5331	691297	7927	3764207639	6649	0.0000000	0.0000000
6	25.0000000	60.0	755	5295	694771	7985	3764207706	6050	0.0000000	0.0000000
7	30.0000000	60.0	336	5171	686034	8119	3764207774	5507	0.0000000	0.0000000
8	35.0000000	60.0	96	5233	630325	7859	3764207842	5329	0.0000000	0.0000000
9	40.0000000	60.0	187	5243	613499	7851	3764207909	5430	0.0000000	0.0000000
10	45.0000000	60.0	566	5145	613654	8029	3764207977	5711	0.0000000	0.0000000
11	50.0000000	60.0	1139	5246	632600	7878	3764208044	6385	0.0000000	0.0000000
12	55.0000000	60.0	1442	5084	713556	8036	3764208112	6526	0.0000000	0.0000000
13	60.0000000	60.0	1819	5297	610241	7880	3764208180	7116	0.0000000	0.0000000
14	65.0000000	60.0	1580	5292	697399	7979	3764208247	6872	0.0000000	0.0000000
15	70.0000000	60.0	1144	5171	638000	7764	3764208315	6315	0.0000000	0.0000000
16	75.0000000	60.0	563	5190	626784	8073	3764208382	5753	0.0000000	0.0000000
17	80.0000000	60.0	215	5209	638302	8001	3764208450	5424	0.0000000	0.0000000
18	85.0000000	60.0	98	5262	689475	7916	3764208518	5360	0.0000000	0.0000000
19	90.0000000	60.0	388	5298	648584	7822	3764208585	5686	0.0000000	0.0000000
20	95.0000000	60.0	840	5385	647930	7713	3764208653	6225	0.0000000	0.0000000
* end: 13/04/2023 07:30:54
