* begin:	02/09/2023 04:08:13
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha_ifg.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	-2.9992676	20.0	799	3125	130025	1932	3776465322	5856	0.0000000	0.0000000
2	-2.8015137	20.0	521	3916	129526	1416	3776465349	5853	0.0000000	0.0000000
3	-2.6037598	20.0	439	4727	128055	904	3776465376	6070	0.0000000	0.0000000
4	-2.4060059	20.0	298	5235	127627	536	3776465403	6069	0.0000000	0.0000000
5	-2.1862793	20.0	236	5466	127007	468	3776465429	6170	0.0000000	0.0000000
6	-1.9995117	20.0	323	5030	128484	786	3776465456	6139	0.0000000	0.0000000
7	-1.8017578	20.0	470	3987	128111	1454	3776465483	5911	0.0000000	0.0000000
8	-1.6149902	20.0	607	3382	127169	1958	3776465509	5947	0.0000000	0.0000000
9	-1.3952637	20.0	695	2925	127820	2138	3776465536	5758	0.0000000	0.0000000
10	-1.2084961	20.0	773	2781	128742	2232	3776465563	5786	0.0000000	0.0000000
11	-0.9997559	20.0	753	3217	131066	1965	3776465590	5935	0.0000000	0.0000000
12	-0.8129883	20.0	512	4074	130854	1252	3776465616	5838	0.0000000	0.0000000
13	-0.6042480	20.0	402	4987	130673	785	3776465643	6174	0.0000000	0.0000000
14	-0.4064941	20.0	311	5459	130273	506	3776465670	6276	0.0000000	0.0000000
15	-0.1977539	20.0	234	5450	130375	413	3776465697	6097	0.0000000	0.0000000
16	0.0000000	20.0	286	5095	129820	729	3776465723	6110	0.0000000	0.0000000
17	0.1867676	20.0	391	4492	130534	1140	3776465750	6023	0.0000000	0.0000000
18	0.3955078	20.0	564	3736	126025	1634	3776465777	5934	0.0000000	0.0000000
19	0.5932617	20.0	618	3036	126101	2097	3776465803	5751	0.0000000	0.0000000
20	0.8020020	20.0	751	2831	126506	2220	3776465830	5802	0.0000000	0.0000000
21	0.9997559	20.0	719	3384	126129	1824	3776465857	5927	0.0000000	0.0000000
22	1.1865234	20.0	608	4045	125702	1453	3776465884	6106	0.0000000	0.0000000
23	1.3842773	20.0	412	4701	125518	849	3776465911	5962	0.0000000	0.0000000
24	1.6149902	20.0	250	5356	125657	479	3776465937	6085	0.0000000	0.0000000
25	1.7907715	20.0	229	5648	125410	416	3776465964	6293	0.0000000	0.0000000
26	1.9995117	20.0	257	5292	126668	596	3776465991	6145	0.0000000	0.0000000
27	2.1972656	20.0	414	4441	125357	1199	3776466018	6054	0.0000000	0.0000000
28	2.3950195	20.0	610	3533	125172	1761	3776466045	5904	0.0000000	0.0000000
29	2.6037598	20.0	751	3004	125003	2166	3776466072	5921	0.0000000	0.0000000
30	2.7905273	20.0	791	2878	126352	2143	3776466098	5812	0.0000000	0.0000000
31	2.9992676	20.0	694	3338	125894	1924	3776466125	5956	0.0000000	0.0000000
* end: 02/09/2023 04:22:06
