* begin:	02/09/2023 02:28:15
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha_ifg.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	-2.9992676	20.0	285	5321	122667	448	3776459324	6054	0.0000000	0.0000000
2	-2.8015137	20.0	314	5077	127402	683	3776459351	6074	0.0000000	0.0000000
3	-2.6147461	20.0	440	4508	126978	1068	3776459378	6016	0.0000000	0.0000000
4	-2.4060059	20.0	532	3613	128021	1711	3776459404	5856	0.0000000	0.0000000
5	-2.2082520	20.0	693	3138	127132	2105	3776459431	5936	0.0000000	0.0000000
6	-1.9995117	20.0	703	3012	126178	2108	3776459458	5823	0.0000000	0.0000000
7	-1.8127441	20.0	666	3525	127357	1788	3776459484	5979	0.0000000	0.0000000
8	-1.6040039	20.0	551	4063	127013	1325	3776459511	5939	0.0000000	0.0000000
9	-1.4062500	20.0	407	4637	128915	885	3776459538	5929	0.0000000	0.0000000
10	-1.1975098	20.0	309	5233	130131	512	3776459565	6054	0.0000000	0.0000000
11	-1.0107422	20.0	262	5361	130347	432	3776459591	6055	0.0000000	0.0000000
12	-0.8020020	20.0	327	4987	130223	746	3776459618	6060	0.0000000	0.0000000
13	-0.6042480	20.0	422	4370	128605	1215	3776459645	6007	0.0000000	0.0000000
14	-0.4064941	20.0	524	3695	128863	1620	3776459671	5839	0.0000000	0.0000000
15	-0.2087402	20.0	676	3083	128953	2062	3776459698	5821	0.0000000	0.0000000
16	-0.0109863	20.0	744	3068	129128	2130	3776459725	5942	0.0000000	0.0000000
17	0.1867676	20.0	677	3250	129738	1888	3776459752	5815	0.0000000	0.0000000
18	0.3955078	20.0	552	4023	131071	1320	3776459778	5895	0.0000000	0.0000000
19	0.6042480	20.0	474	4709	130492	897	3776459805	6080	0.0000000	0.0000000
20	0.8020020	20.0	326	5332	129954	517	3776459832	6175	0.0000000	0.0000000
21	0.9887695	20.0	267	5356	130397	495	3776459858	6118	0.0000000	0.0000000
22	1.1975098	20.0	343	4977	128849	740	3776459885	6060	0.0000000	0.0000000
23	1.3952637	20.0	354	4580	128716	1045	3776459912	5979	0.0000000	0.0000000
24	1.6040039	20.0	533	3704	129989	1654	3776459939	5891	0.0000000	0.0000000
25	1.7797852	20.0	660	3156	130840	1934	3776459965	5750	0.0000000	0.0000000
26	1.9995117	20.0	722	2900	130402	2081	3776459992	5703	0.0000000	0.0000000
27	2.1972656	20.0	702	3456	129051	1818	3776460019	5976	0.0000000	0.0000000
28	2.3950195	20.0	525	4100	131853	1288	3776460046	5913	0.0000000	0.0000000
29	2.6037598	20.0	372	4859	131403	837	3776460072	6068	0.0000000	0.0000000
30	2.7795410	20.0	312	5170	131870	547	3776460099	6029	0.0000000	0.0000000
31	2.9992676	20.0	238	5344	128898	480	3776460126	6062	0.0000000	0.0000000
* end: 02/09/2023 02:42:07
