* begin:	01/09/2023 22:32:25
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	0.0000000	20.0	577	3937	129829	1345	3776445170	5859	0.0000000	0.0000000
0	-0.1000000	20.0	509	4265	127291	1117	3776445193	5891	0.0000000	0.0000000
0	0.1000000	20.0	594	3903	127825	1387	3776445216	5884	0.0000000	0.0000000
0	-0.2000000	20.0	482	4635	129192	943	3776445239	6060	0.0000000	0.0000000
0	0.2000000	20.0	647	3798	128485	1545	3776445262	5990	0.0000000	0.0000000
0	-0.3000000	20.0	427	4845	129358	836	3776445286	6108	0.0000000	0.0000000
0	0.3000000	20.0	595	3516	132902	1685	3776445309	5796	0.0000000	0.0000000
0	-0.4000000	20.0	406	4979	132543	691	3776445332	6076	0.0000000	0.0000000
0	0.4000000	20.0	725	3446	131092	1853	3776445355	6024	0.0000000	0.0000000
0	-0.5000000	20.0	329	5231	131173	537	3776445379	6097	0.0000000	0.0000000
0	0.5000000	20.0	661	3443	132003	1752	3776445402	5856	0.0000000	0.0000000
0	-0.6000000	20.0	310	5362	131160	436	3776445425	6108	0.0000000	0.0000000
0	0.6000000	20.0	701	3031	130816	2046	3776445448	5778	0.0000000	0.0000000
0	-0.7000000	20.0	270	5419	129580	420	3776445471	6109	0.0000000	0.0000000
0	0.7000000	20.0	662	2982	127904	2129	3776445495	5773	0.0000000	0.0000000
0	-0.8000000	20.0	246	5526	128814	425	3776445518	6197	0.0000000	0.0000000
0	0.8000000	20.0	689	2988	128020	2107	3776445541	5784	0.0000000	0.0000000
0	-0.9000000	20.0	260	5513	126875	451	3776445565	6224	0.0000000	0.0000000
0	0.9000000	20.0	713	3061	129164	2101	3776445588	5875	0.0000000	0.0000000
0	-1.0000000	20.0	255	5144	130349	567	3776445611	5966	0.0000000	0.0000000
0	1.0000000	20.0	774	2997	130381	2170	3776445634	5941	0.0000000	0.0000000
0	-1.1000000	20.0	269	5099	129732	775	3776445658	6143	0.0000000	0.0000000
0	1.1000000	20.0	733	2990	130544	2136	3776445681	5859	0.0000000	0.0000000
0	-1.2000000	20.0	346	4590	132446	978	3776445704	5914	0.0000000	0.0000000
0	1.2000000	20.0	744	2900	132741	2244	3776445727	5888	0.0000000	0.0000000
0	-1.3000000	20.0	410	4496	131185	1197	3776445751	6103	0.0000000	0.0000000
0	1.3000000	20.0	780	2756	130625	2315	3776445774	5851	0.0000000	0.0000000
0	-1.4000000	20.0	555	3738	129565	1666	3776445797	5959	0.0000000	0.0000000
0	1.4000000	20.0	757	2762	129896	2306	3776445820	5825	0.0000000	0.0000000
0	-1.5000000	20.0	585	3505	130648	1750	3776445844	5840	0.0000000	0.0000000
0	1.5000000	20.0	770	2607	129077	2366	3776445867	5743	0.0000000	0.0000000
0	-1.6000000	20.0	609	3068	117806	1933	3776445890	5610	0.0000000	0.0000000
0	1.6000000	20.0	727	2829	116205	2277	3776445913	5833	0.0000000	0.0000000
0	-1.7000000	20.0	698	2878	115862	2129	3776445937	5705	0.0000000	0.0000000
0	1.7000000	20.0	733	2807	116189	2166	3776445960	5706	0.0000000	0.0000000
0	-1.8000000	20.0	760	2645	129598	2253	3776445983	5658	0.0000000	0.0000000
0	1.8000000	20.0	764	2779	130652	2211	3776446007	5754	0.0000000	0.0000000
0	-1.9000000	20.0	778	2710	130540	2203	3776446030	5691	0.0000000	0.0000000
0	1.9000000	20.0	736	2797	130624	2221	3776446053	5754	0.0000000	0.0000000
0	-2.0000000	20.0	843	2813	129987	2175	3776446076	5831	0.0000000	0.0000000
0	2.0000000	20.0	675	2860	130671	2165	3776446100	5700	0.0000000	0.0000000
* end: 01/09/2023 22:48:20
