* begin:	02/09/2023 19:43:25
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	0.0000000	20.0	623	3980	130907	1376	3776521429	5979	0.0000000	0.0000000
0	-0.1000000	20.0	540	4140	129444	1184	3776521452	5864	0.0000000	0.0000000
0	0.1000000	20.0	638	3776	131089	1561	3776521475	5975	0.0000000	0.0000000
0	-0.2000000	20.0	528	4213	125774	1207	3776521499	5948	0.0000000	0.0000000
0	0.2000000	20.0	667	3391	125043	1768	3776521522	5826	0.0000000	0.0000000
0	-0.3000000	20.0	464	4280	125754	1055	3776521545	5799	0.0000000	0.0000000
0	0.3000000	20.0	686	3460	125773	1668	3776521568	5814	0.0000000	0.0000000
0	-0.4000000	20.0	494	4768	126164	912	3776521592	6174	0.0000000	0.0000000
0	0.4000000	20.0	674	3419	128254	1829	3776521615	5922	0.0000000	0.0000000
0	-0.5000000	20.0	380	4918	128579	735	3776521638	6033	0.0000000	0.0000000
0	0.5000000	20.0	699	3248	127869	1960	3776521661	5907	0.0000000	0.0000000
0	-0.6000000	20.0	323	5208	127742	514	3776521685	6045	0.0000000	0.0000000
0	0.6000000	20.0	725	3102	126019	1982	3776521708	5809	0.0000000	0.0000000
0	-0.7000000	20.0	320	5246	125373	553	3776521731	6119	0.0000000	0.0000000
0	0.7000000	20.0	675	3124	126313	2085	3776521754	5884	0.0000000	0.0000000
0	-0.8000000	20.0	284	5374	125330	419	3776521778	6077	0.0000000	0.0000000
0	0.8000000	20.0	748	3048	125386	2032	3776521801	5828	0.0000000	0.0000000
0	-0.9000000	20.0	254	5367	125926	490	3776521824	6111	0.0000000	0.0000000
0	0.9000000	20.0	707	3015	125435	2050	3776521847	5772	0.0000000	0.0000000
0	-1.0000000	20.0	255	5368	126400	584	3776521871	6207	0.0000000	0.0000000
0	1.0000000	20.0	671	3159	127043	1986	3776521894	5816	0.0000000	0.0000000
0	-1.1000000	20.0	282	5189	132106	595	3776521917	6066	0.0000000	0.0000000
0	1.1000000	20.0	720	2873	130552	2113	3776521940	5706	0.0000000	0.0000000
0	-1.2000000	20.0	360	4660	130429	1030	3776521963	6050	0.0000000	0.0000000
0	1.2000000	20.0	750	3016	130271	2155	3776521987	5921	0.0000000	0.0000000
0	-1.3000000	20.0	391	4469	126151	1144	3776522010	6004	0.0000000	0.0000000
0	1.3000000	20.0	660	3193	127953	1986	3776522033	5839	0.0000000	0.0000000
0	-1.4000000	20.0	417	4140	128124	1263	3776522056	5820	0.0000000	0.0000000
0	1.4000000	20.0	740	2832	128981	2125	3776522080	5697	0.0000000	0.0000000
0	-1.5000000	20.0	554	3805	129743	1593	3776522103	5952	0.0000000	0.0000000
0	1.5000000	20.0	671	3154	130682	2105	3776522126	5930	0.0000000	0.0000000
0	-1.6000000	20.0	595	3520	131903	1798	3776522149	5913	0.0000000	0.0000000
0	1.6000000	20.0	659	2959	130491	2086	3776522173	5704	0.0000000	0.0000000
0	-1.7000000	20.0	707	3138	130818	2017	3776522196	5862	0.0000000	0.0000000
0	1.7000000	20.0	701	2956	128202	2072	3776522219	5729	0.0000000	0.0000000
0	-1.8000000	20.0	706	2930	127920	2178	3776522242	5814	0.0000000	0.0000000
0	1.8000000	20.0	672	3085	127608	2082	3776522265	5839	0.0000000	0.0000000
0	-1.9000000	20.0	779	2885	127686	2177	3776522289	5841	0.0000000	0.0000000
0	1.9000000	20.0	585	3191	125883	1916	3776522312	5692	0.0000000	0.0000000
0	-2.0000000	20.0	778	2882	125985	2140	3776522335	5800	0.0000000	0.0000000
0	2.0000000	20.0	645	3232	125936	1930	3776522358	5807	0.0000000	0.0000000
* end: 02/09/2023 19:59:19
