* begin:	03/09/2023 02:16:27
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\alpha_ifg.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
1	-2.9992676	20.0	591	4096	129545	1384	3776545017	6071	0.0000000	0.0000000
2	-2.8015137	20.0	414	4962	129965	735	3776545043	6111	0.0000000	0.0000000
3	-2.6147461	20.0	254	5549	129641	402	3776545070	6205	0.0000000	0.0000000
4	-2.4060059	20.0	215	5441	129709	412	3776545097	6068	0.0000000	0.0000000
5	-2.2082520	20.0	320	4908	131389	868	3776545124	6096	0.0000000	0.0000000
6	-1.9995117	20.0	475	4064	130060	1438	3776545150	5977	0.0000000	0.0000000
7	-1.8017578	20.0	669	3309	130746	1912	3776545177	5890	0.0000000	0.0000000
8	-1.6149902	20.0	718	2883	128970	2311	3776545204	5912	0.0000000	0.0000000
9	-1.4172363	20.0	749	2947	127979	1969	3776545231	5665	0.0000000	0.0000000
10	-1.1975098	20.0	604	3748	129358	1660	3776545258	6012	0.0000000	0.0000000
11	-1.0107422	20.0	489	4514	127106	1081	3776545284	6084	0.0000000	0.0000000
12	-0.8129883	20.0	362	5039	126054	668	3776545311	6069	0.0000000	0.0000000
13	-0.6152344	20.0	242	5433	126566	365	3776545338	6040	0.0000000	0.0000000
14	-0.3845215	20.0	238	5256	126679	562	3776545365	6056	0.0000000	0.0000000
15	-0.2087402	20.0	331	4875	125599	899	3776545391	6105	0.0000000	0.0000000
16	0.0000000	20.0	475	4086	127031	1398	3776545418	5959	0.0000000	0.0000000
17	0.1977539	20.0	611	3459	126713	1894	3776545445	5964	0.0000000	0.0000000
18	0.3845215	20.0	770	2868	126904	2147	3776545472	5785	0.0000000	0.0000000
19	0.6042480	20.0	809	2895	125636	2190	3776545499	5894	0.0000000	0.0000000
20	0.8020020	20.0	631	3588	125295	1677	3776545526	5896	0.0000000	0.0000000
21	1.0107422	20.0	562	4073	125375	1236	3776545552	5871	0.0000000	0.0000000
22	1.1975098	20.0	395	5080	125391	710	3776545579	6185	0.0000000	0.0000000
23	1.3842773	20.0	251	5616	125853	406	3776545606	6273	0.0000000	0.0000000
24	1.6040039	20.0	217	5483	125915	438	3776545633	6138	0.0000000	0.0000000
25	1.8017578	20.0	272	5109	125519	739	3776545660	6120	0.0000000	0.0000000
26	1.9995117	20.0	454	4439	128654	1332	3776545686	6225	0.0000000	0.0000000
27	2.1972656	20.0	600	3340	132074	1876	3776545713	5816	0.0000000	0.0000000
28	2.3840332	20.0	747	2944	132432	2180	3776545740	5871	0.0000000	0.0000000
29	2.5927734	20.0	799	2840	130952	2131	3776545767	5770	0.0000000	0.0000000
30	2.7905273	20.0	672	3383	130795	1729	3776545794	5784	0.0000000	0.0000000
31	3.0102539	20.0	556	4246	131857	1256	3776545821	6058	0.0000000	0.0000000
* end: 03/09/2023 02:30:21
