* begin:	29/06/2023 18:49:49
* script file:	D:\data\Cycle 193\exp_CRG-3033\rawdata\sc\beta_alpi8off_gamma_chi.cfg
*
* no cfg file, sc file created manually
* remarks:	room to enter remarks
*
0	-1.4000000	60.0	945	6914	370433	10311	3770902252	7859	0.0000000	0.0000000
0	-1.2000000	60.0	726	6810	370279	10363	3770902316	7536	0.0000000	0.0000000
0	-1.0000000	60.0	525	6891	371486	10283	3770902379	7416	0.0000000	0.0000000
0	-0.8000000	60.0	375	6960	371174	10248	3770902442	7335	0.0000000	0.0000000
0	-0.6000000	60.0	256	6785	370674	10135	3770902506	7041	0.0000000	0.0000000
0	-0.4000000	60.0	339	6905	370993	10107	3770902569	7244	0.0000000	0.0000000
0	-0.2000000	60.0	473	6811	370058	10339	3770902632	7284	0.0000000	0.0000000
0	0.0000000	60.0	683	6993	368853	10238	3770902696	7676	0.0000000	0.0000000
0	0.2000000	60.0	936	6931	367133	10198	3770902759	7867	0.0000000	0.0000000
0	0.4000000	60.0	1115	6804	368013	10217	3770902822	7919	0.0000000	0.0000000
0	0.6000000	60.0	1119	6987	368815	10321	3770902886	8106	0.0000000	0.0000000
0	0.8000000	60.0	951	6934	368768	10255	3770902949	7885	0.0000000	0.0000000
0	1.0000000	60.0	752	6781	367908	10252	3770903012	7533	0.0000000	0.0000000
0	1.2000000	60.0	585	7059	367937	10371	3770903076	7644	0.0000000	0.0000000
0	1.4000000	60.0	396	6829	368225	10444	3770903139	7225	0.0000000	0.0000000
* end: 29/06/2023 19:05:39
